date,temp_mean,temp_max,temp_min,precip
2014-01-01,12.2,16.9,6.6,0.0
2014-01-02,11.0,17.7,5.8,0.0
2014-01-03,11.9,18.4,5.2,0.0
2014-01-04,13.3,18.7,7.6,0.0
2014-01-05,12.4,19.6,6.0,0.0
2014-01-06,11.4,18.2,5.0,0.0
2014-01-07,12.0,18.6,6.3,0.0
2014-01-08,11.7,18.7,4.7,0.0
2014-01-09,12.3,18.7,6.8,0.0
2014-01-10,12.7,18.7,6.5,0.0
2014-01-11,12.2,18.1,7.1,0.0
2014-01-12,12.7,19.2,7.3,0.0
2014-01-13,12.8,19.5,6.2,0.0
2014-01-14,13.3,19.7,7.1,0.0
2014-01-15,12.9,19.1,7.1,0.0
2014-01-16,13.1,18.2,5.8,0.0
2014-01-17,14.1,18.1,10.7,27.4
2014-01-18,13.3,17.5,9.7,0.0
2014-01-19,13.3,18.2,8.8,0.0
2014-01-20,13.7,19.4,7.8,0.0
2014-01-21,13.5,15.8,11.9,22.5
2014-01-22,13.8,17.1,10.9,4.2
2014-01-23,14.9,19.3,10.1,0.0
2014-01-24,13.5,18.7,8.7,0.0
2014-01-25,13.2,18.3,8.1,0.0
2014-01-26,14.1,20.2,9.7,0.0
2014-01-27,14.9,21.4,9.2,0.0
2014-01-28,15.3,21.8,10.0,0.0
2014-01-29,15.4,21.7,10.0,0.0
2014-01-30,14.9,21.0,9.5,0.0
2014-01-31,13.7,19.8,8.3,0.0
2014-02-01,13.7,19.3,8.4,0.0
2014-02-02,14.6,20.7,7.4,0.0
2014-02-03,17.2,24.5,8.8,0.0
2014-02-04,16.7,23.5,10.9,0.0
2014-02-05,16.0,21.6,10.9,0.4
2014-02-06,17.5,23.2,11.0,1.3
2014-02-07,17.1,23.9,13.2,0.4
2014-02-08,14.1,19.3,8.5,0.0
2014-02-09,12.2,18.3,6.7,0.0
2014-02-10,12.0,18.3,5.2,0.0
2014-02-11,12.8,19.8,6.3,0.0
2014-02-12,12.5,19.6,6.2,0.0
2014-02-13,13.9,19.8,6.0,3.4
2014-02-14,13.7,16.2,10.7,12.5
2014-02-15,12.7,18.0,8.1,0.0
2014-02-16,12.2,18.4,7.7,0.0
2014-02-17,13.6,19.6,8.3,0.0
2014-02-18,15.0,21.2,9.3,0.0
