date,temp_mean,temp_max,temp_min,precip
2014-01-01,24.7,29.8,20.3,0.0
2014-01-02,25.2,30.4,21.0,0.0
2014-01-03,24.8,30.3,20.6,0.0
2014-01-04,24.2,28.7,21.1,0.0
2014-01-05,23.2,28.1,19.4,0.0
2014-01-06,23.3,28.9,18.8,0.0
2014-01-07,24.2,30.3,18.6,0.0
2014-01-08,23.9,29.8,18.5,0.0
2014-01-09,23.1,27.9,19.1,0.0
2014-01-10,22.1,27.0,18.6,0.0
2014-01-11,20.9,25.5,17.1,0.0
2014-01-12,21.9,27.2,16.1,0.0
2014-01-13,22.5,27.6,17.5,0.0
2014-01-14,23.1,27.9,18.9,0.0
2014-01-15,23.5,28.7,19.7,0.0
2014-01-16,22.7,28.5,18.1,0.0
2014-01-17,21.3,25.7,16.4,0.0
2014-01-18,22.1,27.7,15.8,0.0
2014-01-19,22.7,28.0,18.5,0.0
2014-01-20,23.6,28.4,18.3,0.0
2014-01-21,23.7,26.6,21.0,0.4
2014-01-22,24.5,28.9,21.7,0.0
2014-01-23,24.5,29.2,21.2,0.0
2014-01-24,24.3,28.6,21.0,0.0
2014-01-25,24.9,30.4,21.2,0.0
2014-01-26,26.5,31.6,21.7,0.0
2014-01-27,26.8,32.1,23.0,0.0
2014-01-28,25.3,30.7,20.0,0.0
2014-01-29,24.6,30.5,19.1,0.0
2014-01-30,25.1,31.4,18.8,0.0
2014-01-31,25.7,31.7,19.9,0.0
2014-02-01,25.4,31.3,19.7,0.0
2014-02-02,25.8,31.4,20.4,0.0
2014-02-03,25.6,31.5,19.9,0.0
2014-02-04,25.8,31.6,20.5,0.0
2014-02-05,25.7,31.7,20.2,0.0
2014-02-06,24.3,29.9,19.1,0.0
2014-02-07,23.9,29.7,18.3,0.0
2014-02-08,23.4,28.9,18.9,0.0
2014-02-09,22.6,28.1,18.0,0.0
2014-02-10,22.6,28.0,17.3,0.0
2014-02-11,22.1,26.8,17.6,0.0
2014-02-12,22.6,27.2,16.9,0.0
2014-02-13,23.1,26.4,17.6,0.0
2014-02-14,22.8,26.1,19.6,0.2
2014-02-15,21.6,25.2,17.7,0.1
2014-02-16,22.3,26.6,17.5,0.0
2014-02-17,24.3,29.9,19.2,0.0
2014-02-18,25.3,31.6,19.8,0.0
2014-02-19,25.4,31.8,19.0,0.0
2014-02-20,24.8,29.9,20.9,0.0
2014-02-21,24.1,28.0,20.8,0.0
2014-02-22,23.6,27.7,20.3,0.0
2014-02-23,24.7,29.5,19.5,0.0
2014-02-24,25.4,30.6,19.9,0.0
2014-02-25,26.0,31.0,22.8,0.0
2014-02-26,25.3,29.4,22.2,0.0
2014-02-27,25.0,28.9,21.3,0.0
2014-02-28,23.5,27.7,18.7,0.0
2014-03-01,23.3,27.8,17.6,0.0
2014-03-02,24.9,30.4,20.3,0.0
2014-03-03,25.3,31.2,19.6,0.0
2014-03-04,24.5,29.5,19.1,0.0
2014-03-05,24.7,29.4,20.9,0.0
2014-03-06,24.8,28.7,21.6,0.0
2014-03-07,25.5,29.1,22.7,0.3
2014-03-08,25.7,29.7,23.0,0.0
2014-03-09,25.4,29.2,22.2,0.0
2014-03-10,25.2,29.4,20.9,0.0
2014-03-11,25.0,30.0,19.8,0.0
2014-03-12,27.4,32.8,21.4,0.6
2014-03-13,27.9,32.5,23.0,0.0
2014-03-14,28.0,33.2,22.5,0.0
2014-03-15,28.4,34.0,24.0,0.0
2014-03-16,29.3,34.4,24.1,0.0
2014-03-17,29.6,35.3,24.3,0.0
2014-03-18,28.6,34.1,24.0,0.0
2014-03-19,29.5,35.0,24.7,0.0
2014-03-20,28.5,34.2,23.0,0.0
2014-03-21,26.5,32.3,21.4,0.0
2014-03-22,24.9,29.9,20.9,0.0
2014-03-23,26.2,32.3,21.3,0.0
2014-03-24,26.5,31.5,22.2,0.0
2014-03-25,27.1,32.4,22.1,0.0
2014-03-26,28.0,33.2,23.1,0.0
2014-03-27,27.5,32.8,22.7,0.0
2014-03-28,27.5,32.6,22.4,0.0
2014-03-29,28.6,34.3,23.4,0.0
2014-03-30,29.9,36.0,24.8,0.0
2014-03-31,28.1,33.0,23.4,0.0
2014-04-01,27.1,32.9,22.6,0.0
2014-04-02,27.2,32.4,22.6,0.0
2014-04-03,28.0,33.7,23.3,0.0
2014-04-04,29.4,36.4,24.0,0.0
2014-04-05,28.4,33.4,24.7,0.0
2014-04-06,28.2,33.2,24.2,0.0
2014-04-07,28.3,32.1,24.5,0.0
2014-04-08,27.8,32.1,23.7,0.0
2014-04-09,27.3,31.2,24.1,0.0
2014-04-10,27.1,31.5,22.7,0.0
2014-04-11,26.6,32.2,22.0,0.0
2014-04-12,26.7,32.2,21.0,0.0
2014-04-13,26.8,31.4,21.7,0.0
2014-04-14,26.5,31.2,22.2,0.0
2014-04-15,26.8,30.6,22.4,0.0
2014-04-16,27.3,31.3,24.4,0.0
2014-04-17,27.4,30.7,24.8,0.0
2014-04-18,27.6,31.1,24.6,0.0
2014-04-19,27.3,31.8,23.7,0.0
2014-04-20,28.3,32.7,23.8,0.0
2014-04-21,29.8,35.2,25.8,0.0
2014-04-22,30.9,35.6,26.1,0.0
2014-04-23,31.6,36.8,26.7,0.0
2014-04-24,30.5,35.6,26.4,0.0
2014-04-25,29.2,33.3,24.7,0.0
2014-04-26,29.5,34.7,25.0,0.0
2014-04-27,29.0,33.5,25.5,0.0
2014-04-28,29.0,32.7,25.6,0.0
2014-04-29,29.2,32.9,25.9,0.0
2014-04-30,29.0,33.0,25.6,0.0
2014-05-01,28.9,33.3,25.9,0.0
2014-05-02,28.7,32.3,24.7,0.0
2014-05-03,28.5,33.1,25.0,0.0
2014-05-04,28.3,33.1,24.5,0.0
2014-05-05,28.6,33.3,25.0,0.0
2014-05-06,29.7,34.2,25.4,0.0
2014-05-07,30.7,34.6,26.3,0.0
2014-05-08,30.4,34.4,27.5,0.0
2014-05-09,30.0,33.7,26.8,0.0
2014-05-10,28.9,32.2,25.8,0.0
2014-05-11,28.8,32.3,25.6,0.0
2014-05-12,29.0,32.6,26.3,0.0
2014-05-13,29.2,32.8,26.5,0.0
2014-05-14,29.1,32.6,26.1,0.4
2014-05-15,29.3,33.1,26.4,0.0
2014-05-16,29.0,32.5,26.5,0.0
2014-05-17,29.5,33.5,26.1,0.4
2014-05-18,30.2,33.9,27.2,0.0
2014-05-19,31.6,35.5,28.4,0.0
2014-05-20,30.8,35.1,27.1,0.0
2014-05-21,30.1,33.7,27.1,0.0
2014-05-22,29.4,32.6,26.2,0.0
2014-05-23,29.4,32.9,26.3,0.0
2014-05-24,29.3,33.2,26.4,0.0
2014-05-25,29.4,32.6,26.5,0.0
2014-05-26,29.7,33.0,26.9,0.0
2014-05-27,30.0,33.2,27.4,0.0
2014-05-28,30.1,33.2,27.6,0.0
2014-05-29,30.1,33.0,28.1,0.0
2014-05-30,29.8,32.7,27.2,0.0
2014-05-31,29.7,32.8,26.9,0.0
2014-06-01,30.0,33.1,27.6,0.0
2014-06-02,30.4,34.0,28.2,0.0
2014-06-03,30.3,33.2,28.6,0.0
2014-06-04,30.4,33.1,28.6,0.0
2014-06-05,30.6,33.5,28.8,0.0
2014-06-06,30.4,33.2,28.5,0.0
2014-06-07,30.3,33.1,28.4,0.0
2014-06-08,30.7,33.0,28.6,0.0
2014-06-09,30.5,33.0,28.9,0.2
2014-06-10,30.7,34.9,28.8,1.4
2014-06-11,29.9,33.5,27.3,1.9
2014-06-12,29.0,31.9,26.7,1.9
2014-06-13,28.3,31.3,26.2,5.4
2014-06-14,27.8,29.9,26.2,7.7
2014-06-15,27.1,29.3,25.8,10.2
2014-06-16,27.4,29.6,26.0,9.8
2014-06-17,27.9,30.2,26.3,4.2
2014-06-18,27.6,29.4,26.2,7.7
2014-06-19,28.2,29.8,26.3,7.8
2014-06-20,28.7,30.3,27.7,7.3
2014-06-21,28.6,30.1,27.3,6.2
2014-06-22,28.4,29.9,27.6,5.2
2014-06-23,28.4,30.0,27.3,5.6
2014-06-24,28.5,30.1,27.4,3.2
2014-06-25,28.4,30.1,27.3,3.7
2014-06-26,28.5,30.5,27.0,1.2
2014-06-27,28.5,30.4,26.6,1.6
2014-06-28,28.5,30.2,26.5,0.9
2014-06-29,28.8,31.1,27.0,2.2
2014-06-30,28.4,30.4,26.8,2.8
2014-07-01,28.3,29.7,26.8,4.5
2014-07-02,27.0,29.0,25.6,7.3
2014-07-03,26.6,28.2,25.3,6.3
2014-07-04,27.2,28.3,26.2,4.9
2014-07-05,27.9,29.7,26.3,4.6
2014-07-06,27.6,29.5,26.1,5.9
2014-07-07,27.4,29.5,25.8,5.9
2014-07-08,26.9,29.1,25.8,6.7
2014-07-09,26.4,27.6,25.6,14.8
2014-07-10,26.0,27.4,25.5,56.4
2014-07-11,26.2,27.4,25.6,62.1
2014-07-12,25.9,26.8,25.4,28.5
2014-07-13,26.4,27.8,25.6,14.3
2014-07-14,26.6,27.9,25.7,36.5
2014-07-15,26.2,26.7,25.7,70.2
2014-07-16,26.1,26.6,25.8,37.4
2014-07-17,26.8,28.2,26.0,25.2
2014-07-18,26.8,28.0,26.2,14.8
2014-07-19,26.8,28.0,25.6,10.2
2014-07-20,26.3,28.0,24.7,10.5
2014-07-21,25.5,26.5,24.8,8.4
2014-07-22,25.4,26.4,24.8,17.8
2014-07-23,26.0,26.5,25.0,37.1
2014-07-24,26.3,27.9,24.9,10.5
2014-07-25,26.1,28.1,24.9,8.9
2014-07-26,26.4,28.2,25.0,7.5
2014-07-27,26.1,27.1,25.1,34.3
2014-07-28,25.9,26.8,25.5,48.0
2014-07-29,25.8,26.1,25.6,116.4
2014-07-30,26.0,26.9,25.5,42.4
2014-07-31,26.0,26.8,25.6,98.6
2014-08-01,26.3,27.6,25.5,19.9
2014-08-02,26.4,28.0,25.6,18.3
2014-08-03,26.4,27.6,25.7,37.8
2014-08-04,26.1,27.5,25.2,35.1
2014-08-05,25.7,27.2,24.9,20.2
2014-08-06,25.5,26.7,24.8,18.3
2014-08-07,25.4,26.7,24.5,18.3
2014-08-08,25.4,27.1,24.5,9.3
2014-08-09,25.8,27.4,24.6,9.6
2014-08-10,25.8,27.7,24.6,8.8
2014-08-11,25.7,27.5,24.6,9.1
2014-08-12,25.9,27.5,24.8,10.7
2014-08-13,26.4,27.9,24.9,8.9
2014-08-14,26.3,27.6,25.1,10.7
2014-08-15,25.8,27.3,24.8,12.6
2014-08-16,25.9,27.6,24.7,6.2
2014-08-17,26.2,27.7,24.6,4.1
2014-08-18,26.6,28.4,24.6,0.3
2014-08-19,27.2,29.1,25.5,1.9
2014-08-20,27.3,29.3,26.2,6.4
2014-08-21,27.3,29.2,26.1,5.8
2014-08-22,26.6,28.3,25.4,11.6
2014-08-23,27.8,30.5,25.7,0.1
2014-08-24,27.3,29.8,25.7,15.5
2014-08-25,26.7,27.9,25.5,24.4
2014-08-26,25.8,26.4,25.2,35.1
2014-08-27,25.6,26.7,24.8,40.9
2014-08-28,25.9,28.1,24.8,19.7
2014-08-29,26.9,29.6,24.9,12.3
2014-08-30,26.5,28.1,25.6,38.8
2014-08-31,25.7,26.2,25.5,111.8
2014-09-01,25.6,26.2,25.1,99.4
2014-09-02,25.7,26.8,25.1,31.2
2014-09-03,26.1,27.6,25.3,18.6
2014-09-04,26.1,27.6,25.4,26.5
2014-09-05,25.9,27.3,25.2,31.8
2014-09-06,26.9,28.4,25.5,4.8
2014-09-07,26.8,28.1,25.7,4.5
2014-09-08,25.7,26.5,24.7,13.2
2014-09-09,25.4,26.5,24.8,7.8
2014-09-10,25.4,26.3,24.6,8.5
2014-09-11,25.6,27.3,24.4,3.5
2014-09-12,25.8,27.5,24.7,6.1
2014-09-13,26.0,27.7,24.6,5.0
2014-09-14,26.2,28.1,24.6,0.9
2014-09-15,26.5,28.6,24.7,1.1
2014-09-16,26.3,28.6,23.8,2.6
2014-09-17,26.6,28.7,23.9,0.8
2014-09-18,27.2,29.3,25.5,0.7
2014-09-19,27.0,28.5,25.5,2.6
2014-09-20,26.8,28.4,25.2,1.4
2014-09-21,26.8,28.9,24.6,1.3
2014-09-22,27.2,29.2,24.7,0.1
2014-09-23,27.3,29.7,24.2,0.0
2014-09-24,27.7,29.9,25.2,0.0
2014-09-25,28.0,30.9,25.8,3.3
2014-09-26,28.5,31.4,26.1,0.2
2014-09-27,29.2,32.7,26.7,0.0
2014-09-28,29.7,33.9,26.0,0.0
2014-09-29,29.5,33.3,25.6,0.0
2014-09-30,29.1,32.9,26.7,0.4
2014-10-01,28.8,32.0,26.6,0.3
2014-10-02,29.7,33.3,26.5,0.0
2014-10-03,29.8,33.3,27.4,0.0
2014-10-04,29.3,32.0,27.2,1.5
2014-10-05,29.4,32.7,26.4,0.5
2014-10-06,29.5,33.2,27.1,0.0
2014-10-07,28.5,31.9,25.2,6.2
2014-10-08,27.5,30.8,25.3,1.2
